"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NEP", "NEP_COMMENT", "NEP_DATE_START", "NEP_DATE_END", "NEP_APPROACH", "NEP_SPATIAL_VARIABILITY", 
"CA-Oas", "25197", "GRP_NEP", "158000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "2000", "2001", , , 
"CA-Oas", "25325", "GRP_NEP", "261000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "1998", "1999", , , 
"CA-Oas", "25326", "GRP_NEP", "367000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "2001", "2002", , , 
"CA-Oas", "26205", "GRP_NEP", "55000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "1996", "1997", , , 
"CA-Oas", "26206", "GRP_NEP", "104000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "2003", "2004", , , 
"CA-Oas", "26336", "GRP_NEP", "119000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "1999", "2000", , , 
"CA-Oas", "26588", "GRP_NEP", "206000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "1994", "1995", , , 
"CA-Oas", "26589", "GRP_NEP", "131000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "1997", "1998", , , 
"CA-Oas", "26590", "GRP_NEP", "144000", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocol", "2002", "2003", , , 
"CA-Obs", "25199", "GRP_NEP", "38000", , "1999", , , , 
"CA-Obs", "25455", "GRP_NEP", "56000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2000", "2001", , , 
"CA-Obs", "25596", "GRP_NEP", "36000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2004", "2005", , , 
"CA-Obs", "25832", "GRP_NEP", "77000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2001", "2002", , , 
"CA-Obs", "25948", "GRP_NEP", "76000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2003", "2004", , , 
"CA-Obs", "26111", "GRP_NEP", "45000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2005", "2006", , , 
"CA-Obs", "26112", "GRP_NEP", "68000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2006", "2007", , , 
"CA-Obs", "26214", "GRP_NEP", "29000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2002", "2003", , , 
"CA-Obs", "26465", "GRP_NEP", "50000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance technique", "2007", "2008", , , 
"CA-Ojp", "27122", "GRP_NEP", "36000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2005", "2006", , "8", 
"CA-Ojp", "27763", "GRP_NEP", "42000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2001", "2002", , "8", 
"CA-Ojp", "27764", "GRP_NEP", "-15000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2002", "2003", , "7", 
"CA-Ojp", "27765", "GRP_NEP", "28000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2003", "2004", , "7", 
"CA-Ojp", "28716", "GRP_NEP", "67000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2000", "2001", , "8", 
"CA-Ojp", "29364", "GRP_NEP", "7000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2004", "2005", , "7", 
"CA-Qfo", "25766", "GRP_NEP", "25000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance", "2006", "2007", , , 
"CA-Qfo", "25882", "GRP_NEP", "4000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance", "2005", "2006", , , 
"CA-Qfo", "26002", "GRP_NEP", "5000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance", "2007", "2008", , , 
"CA-Qfo", "26273", "GRP_NEP", "8000", "Jan-Dec; measured followed Fluxnet-Canada protocol, using eddy covariance", "2004", "2005", , , 
"CA-SJ1", "26988", "GRP_NEP", "4000", "(Jan-Dec); measured followed Fluxnet-Canada protocol, using eddy covariance", "2004", "2005", , , 
"CA-SJ1", "27902", "GRP_NEP", "-67000", "(Jan-Dec); measured followed Fluxnet-Canada protocol, using eddy covariance", "2002", "2003", , , 
"CA-SJ1", "28159", "GRP_NEP", "-32000", "(Jan-Dec); measured followed Fluxnet-Canada protocol, using eddy covariance", "2001", "2002", , , 
"CA-SJ1", "29106", "GRP_NEP", "-11000", "(Jan-Dec); measured followed Fluxnet-Canada protocol, using eddy covariance", "2003", "2004", , , 
"CA-SJ1", "29458", "GRP_NEP", "34000", "(Jan-Dec); measured followed Fluxnet-Canada protocol, using eddy covariance", "2005", "2006", , , 
"CA-SJ2", "26993", "GRP_NEP", "-152100", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocols", "2003", "2004", , , 
"CA-SJ2", "28501", "GRP_NEP", "-165300", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocols", "2003", "2004", , , 
"CA-SJ2", "29107", "GRP_NEP", "-122600", "Jan-Dec; measured using eddy covariance, followed Fluxnet-Canada protocols", "2003", "2004", , , 
"CA-SJ3", "26840", "GRP_NEP", "66000", "(Jan-Dec); Measured using eddy covariance (Zha et al, 2008)", "2004", "2005", , , 
"CA-SJ3", "26841", "GRP_NEP", "79000", "(Jan-Dec); Measured using eddy covariance (Zha et al, 2008)", "2005", "2006", , , 
"CA-TP1", "26714", "GRP_NEP", "47020", , "20020601", "20070601", "eddy-covariance technique", , 
"CA-TP2", "26857", "GRP_NEP", "748000", , "20020601", "20070601", "eddy-covariance technique", , 
"CA-TP3", "27300", "GRP_NEP", "451000", , "20020601", "20070601", "eddy-covariance technique", , 
"CA-TP4", "25656", "GRP_NEP", "124000", , "20020601", "20070601", , , 
"CA-WP1", "25483", "GRP_NEP", "147000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2004", "2005", , , 
"CA-WP1", "25634", "GRP_NEP", "269000", "Jan-Dec; measured followed Fluxnet-Canada protocol", "2005", "2006", , , 
"US-ARM", "23900", "GRP_NEP", "600", "0.41/  0.88  /  0.51
wheat 2002,2003,2006", , , , , 
"US-Bar", "24150", "GRP_NEP", "383", "383 g m-2 yr-1", , , , , 
