"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"CA-Qcu", "24398", "GRP_HEIGHTC", "(range 1-3) variable", "2", , , , , , , , , , 
"CA-Qfo", "88583", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 12.7; Stand density (#/ha) 4490; data from Bergeron et al. (2007, Global Change Biology 13, 89-107)", "13.8", "Mean", , , "20031002", , , , , , 
"CA-SF1", "88190", "GRP_HEIGHTC", "Described in Mkhabela et al. 2009. Agricultural and Forest Meteorology 149:783-794", "6", "Mean", , , "20030701", , , , , , 
"CA-SF2", "88191", "GRP_HEIGHTC", "Described in Mkhabela et al. 2009. Agricultural and Forest Meteorology 149:783-794", "4", "Mean", , , "20030701", , , , , , 
"CA-SF3", "88189", "GRP_HEIGHTC", "This is the height of the dead tree canopy, caused by fire. There was a new growing understory of about 1 m height in 2003. Described in Mkhabela et al. 2009. Agricultural and Forest Meteorology 149:783-794", "18", "Mean", , , "20030701", , , , , , 
"CA-SJ1", "28995", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 2.3; Stand density (#/ha) 12500; measured followed Fluxnet-Canada protocol", "1.7", , , , "2002", , , , , , 
"CA-SJ2", "28996", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocols", "0.19", , , , "20050513", , , , , , 
"CA-SJ3", "29109", "GRP_HEIGHTC", "(September); Mean diameter at breast height (cm) 5.3; Stand density (#/ha) 7036; measured followed Fluxnet-Canada protocol", "5.5", , , , "2005", , , , , , 
"CA-TP1", "89096", "GRP_HEIGHTC", , "2.01", "Mean", , , "20061002", , , , , , 
"CA-TP1", "89097", "GRP_HEIGHTC", , "2.83", "Mean", , , "20071016", , , , , , 
"CA-TP1", "89098", "GRP_HEIGHTC", , "3.57", "Mean", , , "20081025", , , , , , 
"CA-TP1", "89099", "GRP_HEIGHTC", , "0.95", "Mean", , , "20041001", , , , , , 
"CA-TP1", "89100", "GRP_HEIGHTC", , "6.5", "Mean", , , "20151020", , , , , , 
"CA-TP1", "89101", "GRP_HEIGHTC", , "5.79", "Mean", , , "20121026", , , , , , 
"CA-TP1", "89102", "GRP_HEIGHTC", , "3.81", "Mean", , , "20091116", , , , , , 
"CA-TP1", "89103", "GRP_HEIGHTC", , "1.37", "Mean", , , "20050928", , , , , , 
