"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"US-AR2", "32332", "GRP_DOI_ORGANIZATION", "U.S. Department of Agriculture", "Originator", 
"US-AR2", "32333", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Lab", "Originator", 
"US-ARb", "31942", "GRP_DOI_ORGANIZATION", "DOE/ARM", "Sponsor", 
"US-ARb", "31943", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-ARc", "31945", "GRP_DOI_ORGANIZATION", "DOE/ARM", "Sponsor", 
"US-ARc", "31946", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-ARM", "31948", "GRP_DOI_ORGANIZATION", "DOE/ARM", "Sponsor", 
"US-ARM", "31949", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-Atq", "31955", "GRP_DOI_ORGANIZATION", "NSF/OPP; NASA-JPL/CARVE; DOE", "Sponsor", 
"US-Atq", "31956", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-Aud", "31951", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-Aud", "31952", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Bar", "31958", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-Bar", "31959", "GRP_DOI_ORGANIZATION", "Harvard University", "Originator", 
"US-Bi1", "84793", "GRP_DOI_ORGANIZATION", "CA Dept Water Resources/CA Dept Fish and Wildlife", "Sponsor", 
"US-Bi1", "84794", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Bi2", "79466", "GRP_DOI_ORGANIZATION", "CA Dept Water Resources/CA Dept Fish and Wildlife", "Sponsor", 
"US-Bi2", "79467", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Bkg", "31992", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-Bkg", "31993", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Blk", "31961", "GRP_DOI_ORGANIZATION", "NOAA", "Sponsor", 
"US-Blk", "31962", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Blo", "31964", "GRP_DOI_ORGANIZATION", "DOE/NIGEC, EPA, University of California", "Sponsor", 
"US-Blo", "31965", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Bn1", "31967", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-Bn1", "31968", "GRP_DOI_ORGANIZATION", "University of California, Irvine", "Originator", 
"US-Bn2", "31970", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-Bn2", "31971", "GRP_DOI_ORGANIZATION", "University of California, Irvine", "Originator", 
"US-Bn3", "31973", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-Bn3", "31974", "GRP_DOI_ORGANIZATION", "University of California, Irvine", "Originator", 
"US-Bo1", "31976", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-Bo1", "31977", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Bo2", "31979", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Bo2", "31980", "GRP_DOI_ORGANIZATION", "University of Illinois, Urbana-Champaign", "Originator", 
"US-Br1", "31983", "GRP_DOI_ORGANIZATION", "USDA", "Sponsor", 
"US-Br1", "31984", "GRP_DOI_ORGANIZATION", "USDA", "Originator", 
"US-Br1", "31985", "GRP_DOI_ORGANIZATION", "National Laboratory for Agriculture and the Environment", "Originator", 
"US-Br3", "31988", "GRP_DOI_ORGANIZATION", "USDA", "Sponsor", 
"US-Br3", "31989", "GRP_DOI_ORGANIZATION", "National Laboratory for Agriculture and the Environment", "Originator", 
"US-Br3", "31990", "GRP_DOI_ORGANIZATION", "USDA", "Originator", 
"US-Brw", "31996", "GRP_DOI_ORGANIZATION", "NSF/OPP, NASA-JPL/CARVE, DOE", "Sponsor", 
"US-Brw", "31997", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-CaV", "31999", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-CaV", "32000", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Ced", "32002", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-Ced", "32003", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-CF1", "86626", "GRP_DOI_ORGANIZATION", "USDA ARS", "Sponsor", 
"US-CF1", "86627", "GRP_DOI_ORGANIZATION", "USDA ARS", "Originator", 
"US-CF2", "86628", "GRP_DOI_ORGANIZATION", "USDA ARS", "Sponsor", 
"US-CF2", "86629", "GRP_DOI_ORGANIZATION", "USDA ARS", "Originator", 
"US-CF3", "86632", "GRP_DOI_ORGANIZATION", "USDA ARS", "Sponsor", 
