"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"US-A10", "85097", "GRP_SITE_FUNDING", "U.S. DOE ARM program", 
"US-A32", "30053", "GRP_SITE_FUNDING", "U.S. DOE ARM program", 
"US-A39", "85067", "GRP_SITE_FUNDING", "U.S. DOE ARM program", 
"US-A74", "30085", "GRP_SITE_FUNDING", "U.S. DOE ARM program", 
"US-Act", "81640", "GRP_SITE_FUNDING", "USEPA", 
"US-ADR", "15385", "GRP_SITE_FUNDING", "USGS", 
"US-Akn", "22262", "GRP_SITE_FUNDING", "DOE", 
"US-ALQ", "83462", "GRP_SITE_FUNDING", "USGS", 
"US-An1", "8418", "GRP_SITE_FUNDING", "NSF/NEON", 
"US-An2", "5017", "GRP_SITE_FUNDING", "NSF/NEON", 
"US-An3", "9297", "GRP_SITE_FUNDING", "NSF/NEON", 
"US-AR1", "15965", "GRP_SITE_FUNDING", "DOE/ASR", 
"US-AR2", "15985", "GRP_SITE_FUNDING", "DOE/ASR", 
"US-ARb", "5864", "GRP_SITE_FUNDING", "DOE/ARM", 
"US-ARc", "10138", "GRP_SITE_FUNDING", "DOE/ARM", 
"US-ARM", "22339", "GRP_SITE_FUNDING", "DOE/ARM", 
"US-ASH", "86823", "GRP_SITE_FUNDING", "USDA ARS Office of National Programs (NP 211)", 
"US-ASL", "86756", "GRP_SITE_FUNDING", "USDA ARS Office of National Programs (NP 211)", 
"US-ASM", "86744", "GRP_SITE_FUNDING", "USDA ARS Office of National Programs (NP 211)", 
"US-Atq", "14891", "GRP_SITE_FUNDING", "NSF/OPP; NASA-JPL/CARVE; DOE", 
"US-Aud", "9298", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Bar", "6703", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-BCM", "87302", "GRP_SITE_FUNDING", "The USGS, St Johns Water management District collaborated on a carbon dynamics project funded by DOE", 
"US-BdA", "13319", "GRP_SITE_FUNDING", "USDA, Arkansas State University, University of Arkansas", 
"US-BdC", "13337", "GRP_SITE_FUNDING", "USDA, Arkansas State University, University of Arkansas", 
"US-Beo", "81626", "GRP_SITE_FUNDING", "NSF, NASA, DOE", 
"US-Bes", "11833", "GRP_SITE_FUNDING", "NSF, DOE", 
"US-Bi1", "30355", "GRP_SITE_FUNDING", "CA Dept Water Resources/CA Dept Fish and Wildlife", 
"US-Bi2", "31251", "GRP_SITE_FUNDING", "CA Dept Water Resources/CA Dept Fish and Wildlife", 
"US-Bkg", "2457", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Blk", "5018", "GRP_SITE_FUNDING", "NOAA", 
"US-Blo", "14399", "GRP_SITE_FUNDING", "DOE/NIGEC, EPA, University of California", 
"US-Bn1", "5865", "GRP_SITE_FUNDING", "NASA", 
"US-Bn2", "3304", "GRP_SITE_FUNDING", "NASA", 
"US-Bn3", "7551", "GRP_SITE_FUNDING", "NASA", 
"US-Bo1", "4108", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-Bo2", "5019", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Br1", "4109", "GRP_SITE_FUNDING", "USDA", 
"US-Br2", "10139", "GRP_SITE_FUNDING", "USDA", 
"US-Br3", "5021", "GRP_SITE_FUNDING", "USDA", 
"US-BRG", "30572", "GRP_SITE_FUNDING", "Ameriflux Management Project, National Science Foundation", 
"US-Brw", "14932", "GRP_SITE_FUNDING", "NSF/OPP, NASA-JPL/CARVE, DOE", 
"US-Bsg", "16091", "GRP_SITE_FUNDING", "NOAA", 
"US-BSM", "31123", "GRP_SITE_FUNDING", "Initially funded by NSF and NOAA.", 
"US-BZB", "87195", "GRP_SITE_FUNDING", "USGS, NSF", 
"US-BZF", "87221", "GRP_SITE_FUNDING", "USGS, NSF", 
"US-BZL", "87227", "GRP_SITE_FUNDING", "NASA", 
"US-BZo", "87278", "GRP_SITE_FUNDING", "USGS, NSF", 
"US-BZS", "87179", "GRP_SITE_FUNDING", "USGS, NSF", 
"US-CaV", "749", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-CdM", "86838", "GRP_SITE_FUNDING", "Ameriflux Management Project, U.S. Forest Service Evaluation Monitoring program", 
"US-Ced", "12669", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-CF1", "84810", "GRP_SITE_FUNDING", "USDA ARS", 
"US-CF2", "84830", "GRP_SITE_FUNDING", "USDA ARS", 
