"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ROOT_PROD_CRS", "ROOT_PROD_FINE", "ROOT_PROD_TOT", "ROOT_PROD_UNIT", "ROOT_PROD_COMMENT", "ROOT_PROD_FINE_SPATIAL_VARIABILITY", "ROOT_PROD_PROFILE_MIN", "ROOT_PROD_PROFILE_MAX", "ROOT_PROD_DATE_START", "ROOT_PROD_APPROACH", "ROOT_PROD_DATE_END", 
"US-Me2", "19658", "GRP_ROOT_PROD", "45.371155961", "166.8", , "gC m-2", , , "0", "100", "2001", , "2001", 
"US-Me3", "24581", "GRP_ROOT_PROD", , "52.6", , "gC m-2", , , "0", "100", "2005", , , 
"US-Me4", "24048", "GRP_ROOT_PROD", , "96", , "gC m-2", , , "0", "100", "2001", , , 
"US-Me4", "24309", "GRP_ROOT_PROD", , "115", , "gC m-2", , , "0", "100", "2001", , , 
"US-Me4", "24316", "GRP_ROOT_PROD", "16", , , "gC m-2", , , , , "2001", , , 
"US-Me4", "24835", "GRP_ROOT_PROD", "52", , , "gC m-2", , , , , "2001", , , 
"US-Me5", "23940", "GRP_ROOT_PROD", "19", , , "gC m-2", , , , , "2001", , , 
"US-Me5", "24570", "GRP_ROOT_PROD", , "131", , "gC m-2", , , "0", "100", "2001", , , 
"US-MMS", "18362", "GRP_ROOT_PROD", , "413", , "gC m-2", "MODEL BASED ON 2000 Nmin; Based on soil C, conservation of Mass.  (Raich & Nadelhoffer, 1989)", , , , "2000", , "2000", 
"US-WCr", "26893", "GRP_ROOT_PROD", , "0.384", , "gC m-2", "Bolstadt et al 2003", , , , , , , 
"US-WCr", "27036", "GRP_ROOT_PROD", , , "32", "gC m-2", "stump & roots, Cook et al 2004, Table 1", , , , , , , 
