"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "WD_BIOMASS_CRS", "WD_BIOMASS_UNIT", "WD_BIOMASS_DATE", "WD_BIOMASS_COMMENT", "WD_BIOMASS_FINE", "WD_BIOMASS_CRS_SPATIAL_VARIABILITY", "WD_BIOMASS_CRS_SPATIAL_REP_NUMBER", "WD_BIOMASS_APPROACH", "WD_BIOMASS_FINE_SPATIAL_VARIABILITY", "WD_BIOMASS_FINE_SPATIAL_REP_NUMBER", "WD_BIOMASS_DATE_UNC", 
"CA-TP4", "26163", "GRP_WD_BIOMASS", "85", "gC m-2", "20040707", , , , , , , , , 
"CA-TP4", "26375", "GRP_WD_BIOMASS", "115", "gC m-2", "20070802", , "135", , , , , , , 
"US-Bar", "24633", "GRP_WD_BIOMASS", "900", "gC m-2", "20040729", "Line intersect sampling", , , , , , , , 
"US-Dk2", "24521", "GRP_WD_BIOMASS", "500", "gC m-2", "2002", "Total annual dry weight, collected in litter baskets (not C only)", , , , , , , , 
"US-Dk2", "25028", "GRP_WD_BIOMASS", "500", "gC m-2", "2003", "Total annual dry weight, collected in litter baskets (not C only)", , , , , , , , 
"US-Dk2", "25029", "GRP_WD_BIOMASS", "500", "gC m-2", "2005", "Total annual dry weight, collected in litter baskets (not C only)", , , , , , , , 
"US-Dk2", "25547", "GRP_WD_BIOMASS", "500", "gC m-2", "2004", "Total annual dry weight, collected in litter baskets (not C only)", , , , , , , , 
"US-Dk2", "25548", "GRP_WD_BIOMASS", , "gC m-2", , , "0", , , , , , , 
"US-Dk3", "25278", "GRP_WD_BIOMASS", "255", "gC m-2", "20030115", "Coarse woody debris following a severe ice storm.  See McCarthy et al. (2006) JGR Table 1 and Figure 3", , , , , , , , 
"US-Fmf", "28841", "GRP_WD_BIOMASS", "651", "gC m-2", "20050609", "including FWD", , , , , , , , 
"US-Fmf", "28842", "GRP_WD_BIOMASS", "652", "gC m-2", "20061007", "including FWD and 414 of slash piles", , , , , , , , 
