"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "REFERENCE_PAPER", "REFERENCE_DOI", "REFERENCE_USAGE", 
"BR-Sa1", "1700004995", "GRP_REFERENCE_PAPER", "Keller, M., Alencar, A., Asner, G. P., Braswell, B., Bustamante, M., Davidson, E., Feldpausch, T., Fernandes, E., Goulden, M., Kabat, P., Kruijt, B., Luizão, F., Miller, S., Markewitz, D., Nobre, A. D., Nobre, C. A., Priante Filho, N., da Rocha, H., Silva Dias, P., von Randow, C., Vourlitis, G. L. (2004) Ecological Research In The Large-Scale Biosphere– Atmosphere Experiment In Amazonia: Early Results, Ecological Applications, 14(sp4), 3-16", "10.1890/03-6003", "Reference", 
"BR-Sa1", "1700005166", "GRP_REFERENCE_PAPER", "Kruijt, B., Elbers, J. A., von Randow, C., Araújo, A. C., Oliveira, P. J., Culf, A., Manzi, A. O., Nobre, A. D., Kabat, P., Moors, E. J. (2004) The Robustness Of Eddy Correlation Fluxes For Amazon Rain Forest Conditions, Ecological Applications, 14(sp4), 101-113", "10.1890/02-6004", "Reference", 
"BR-Sa1", "1700005565", "GRP_REFERENCE_PAPER", "Martens, C. S., Shay, T. J., Mendlovitz, H. P., Matross, D. M., Saleska, S. R., Wofsy, S. C., Woodward, W. S., Menton, M. C., De Moura, J. M., Crill, P. M., De Moraes, O. L., Lima, R. L. (2004) Radon Fluxes In Tropical Forest Ecosystems Of Brazilian Amazonia: Night-Time CO2 Net Ecosystem Exchange Derived From Radon And Eddy Covariance Methods, Global Change Biology, 10(5), 618-629", "10.1111/j.1365-2486.2004.00764.x", "Reference", 
"BR-Sa1", "1700006543", "GRP_REFERENCE_PAPER", "Quesada, C. A., Miranda, A. C., Hodnett, M. G., Santos, A. J., Miranda, H. S., Breyer, L. M. (2004) Seasonal And Depth Variation Of Soil Moisture In A Burned Open Savanna (Campo Sujo) In Central Brazil, Ecological Applications, 14(sp4), 33-41", "10.1890/01-6017", "Reference", 
"BR-Sa1", "1700006678", "GRP_REFERENCE_PAPER", "Rice, A. H., Pyle, E. H., Saleska, S. R., Hutyra, L., Palace, M., Keller, M., de Camargo, P. B., Portilho, K., Marques, D. F., Wofsy, S. C. (2004) Carbon Balance And Vegetation Dynamics In An Old-Growth Amazonian Forest, Ecological Applications, 14(sp4), 55-71", "10.1890/02-6006", "Reference", 
"BR-Sa1", "1700006744", "GRP_REFERENCE_PAPER", "Riggan, P. J., Tissell, R. G., Lockwood, R. N., Brass, J. A., Pereira, J. A., Miranda, H. S., Miranda, A. C., Campos, T., Higgins, R. (2004) Remote Measurement Of Energy And Carbon Flux From Wildfires In Brazil, Ecological Applications, 14(3), 855-872", "10.1890/02-5162", "Reference", 
"BR-Sa1", "1700006801", "GRP_REFERENCE_PAPER", "Saleska, S. R., Miller, S. D., Matross, D. M., Goulden, M. L., Wofsy, S. C., Rocha, H. R. da, Camargo, P. B. de, Crill, P., Daube, B. C., Freitas, H. C. de, Hutyra, L., Keller, M., Kirchhoff, V., Menton, M., Munger, J. W., Pyle, E. H., Rice, A. H., Silva, H. (2003) Carbon In Amazon Forests: Unexpected Seasonal Fluxes And Disturbance-Induced Losses, Science, 302(5650), 1554-1557", "10.1126/science.1091165", "Reference", 
"BR-Sa1", "1700007851", "GRP_REFERENCE_PAPER", "Vourlitis, G. L., Priante Filho, N., Hayashi, M. M., Nogueira, J. d., Raiter, F., Hoegel, W., Campelo, Jr, J. H. (2004) Effects Of Meteorological Variations On The CO2 Exchange Of A Brazilian Transitional Tropical Forest, Ecological Applications, 14(sp4), 89-100", "10.1890/01-6005", "Reference", 
"BR-Sa1", "1700007995", "GRP_REFERENCE_PAPER", "Wick, B., Veldkamp,  E., Mello,  W. Z. De, Keller,  M., Crill,  P. (2005) Nitrous Oxide Fluxes And Nitrogen Cycling Along A Pasture Chronosequence In Central Amazonia, Brazil, Biogeosciences, 2(2), 175-187", "10.5194/bg-2-175-2005", "Reference", 
"BR-Sa3", "1700000246", "GRP_REFERENCE_PAPER", "Asner, G. P., Keller, M., Pereira, Jr, R., Zweede, J. C., Silva, J. N. (2004) Canopy Damage And Recovery After Selective Logging In Amazonia: Field And Satellite Studies, Ecological Applications, 14(sp4), 280-298", "10.1890/01-6019", "Reference", 
