"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_CHEM_PH_H2O", "SOIL_CHEM_PROFILE_MIN", "SOIL_CHEM_PROFILE_MAX", "SOIL_CHEM_HORIZON", "SOIL_CHEM_COMMENT", "SOIL_CHEM_C_ORG", "SOIL_CHEM_DATE", "SOIL_CHEM_PH_SALT", "SOIL_CHEM_N_TOT", "SOIL_CHEM_BD", "SOIL_CHEM_C_ORG_SPATIAL_VARIABILITY", "SOIL_CHEM_N_TOT_SPATIAL_VARIABILITY", "SOIL_CHEM_PH_SALT_SPATIAL_VARIABILITY", "SOIL_CHEM_BD_SPATIAL_VARIABILITY", "SOIL_CHEM_PROFILE_ZERO_REF", "SOIL_CHEM_BD_SPATIAL_REP_NUMBER", "SOIL_CHEM_DATE_UNC", 
"CA-Mer", "27117", "GRP_SOIL_CHEM", , "350", "400", , "(1.53531 gN/100g); soil thickeness 0.5m", , , , "6.00445", , , , , , , , , 
"CA-Mer", "27414", "GRP_SOIL_CHEM", , "0", "10", , "(45.587 gC/100g); soil thickness 0.1 m", "24.9862", , , , "0.05481", , , , , , , , 
"CA-Mer", "27417", "GRP_SOIL_CHEM", , "400", "450", , "(47.85731 gC/100g); soil thickness 0.5 m", "185.556", , , , "0.0830166666666667", , , , , , , , 
"CA-Mer", "27418", "GRP_SOIL_CHEM", , "100", "150", , "(1.59485 gN/100g); soil thickeness 0.5m", , , , "6.00445", , , , , , , , , 
"CA-Mer", "27657", "GRP_SOIL_CHEM", , "500", "550", , "soil thickness 0.5 m", , , , , "0.0829916666666667", , , , , , , , 
"CA-Mer", "27658", "GRP_SOIL_CHEM", , "10", "20", , "(1.13800 gN/100g); soil thickeness 0.1 m", , , , "0.663454", , , , , , , , , 
"CA-Mer", "27659", "GRP_SOIL_CHEM", , "90", "100", , "(1.12300 gN/100g); soil thickeness 0.1 m", , , , "0.94478", , , , , , , , , 
"CA-Mer", "27660", "GRP_SOIL_CHEM", , "400", "450", , "(5.65731 gN/100g); soil thickeness 0.5m", , , , "10.2808", , , , , , , , , 
"CA-Mer", "27757", "GRP_SOIL_CHEM", , "90", "100", , "(50.395 gC/100g); soil thickness 0.1 m", "42.3973", , , , "0.08413", , , , , , , , 
"CA-Mer", "27758", "GRP_SOIL_CHEM", , "50", "60", , "(1.24150 gN/100g); soil thickeness 0.1 m", , , , "1.11661", , , , , , , , , 
"CA-Mer", "28026", "GRP_SOIL_CHEM", , "10", "20", , "(44.234 gC/100g); soil thickness 0.1 m", "25.7884", , , , "0.0583", , , , , , , , 
"CA-Mer", "28027", "GRP_SOIL_CHEM", , "20", "30", , "(48.64917 gC/100g); soil thickness 0.1 m", "43.6188", , , , "0.08966", , , , , , , , 
"CA-Mer", "28028", "GRP_SOIL_CHEM", , "30", "40", , "(50.2465 gC/100g); soil thickness 0.1 m", "54.4722", , , , "0.10841", , , , , , , , 
"CA-Mer", "28029", "GRP_SOIL_CHEM", , "450", "500", , "(48.61923 gC/100g); soil thickness 0.5 m", "199.905", , , , "0.0867538461538462", , , , , , , , 
"CA-Mer", "28030", "GRP_SOIL_CHEM", , "0", "10", , "(0.90700 gN/100g); soil thickeness 0.1 m", , , , "0.497127", , , , , , , , , 
"CA-Mer", "28031", "GRP_SOIL_CHEM", , "150", "200", , "(2.59718 gN/100g); soil thickeness 0.5m", , , , "10.2808", , , , , , , , , 
"CA-Mer", "28032", "GRP_SOIL_CHEM", , "250", "300", , "(1.53572 gN/100g); soil thickeness 0.5m", , , , "6.31121", , , , , , , , , 
"CA-Mer", "28373", "GRP_SOIL_CHEM", , "550", "600", , "soil thickness 0.5 m", , , , , "0.442691666666667", , , , , , , , 
"CA-Mer", "28374", "GRP_SOIL_CHEM", , "40", "50", , "(51.701 gC/100g); soil thickness 0.1 m", "51.7217", , , , "0.10004", , , , , , , , 
"CA-Mer", "28375", "GRP_SOIL_CHEM", , "150", "200", , "(50.50065 gC/100g); soil thickness 0.5 m", "199.905", , , , "0.0791692307692308", , , , , , , , 
"CA-Mer", "28376", "GRP_SOIL_CHEM", , "450", "500", , "(1.52600 gN/100g); soil thickeness 0.5m", , , , "13.0328", , , , , , , , , 
"CA-Mer", "28642", "GRP_SOIL_CHEM", , "350", "400", , "(47.60154 gC/100g); soil thickness 0.5 m", "42.3973", , , , "0.0794461538461538", , , , , , , , 
"CA-Mer", "28643", "GRP_SOIL_CHEM", , "200", "250", , "(2.86331 gN/100g); soil thickeness 0.5m", , , , "13.0328", , , , , , , , , 
"CA-Mer", "28709", "GRP_SOIL_CHEM", , "80", "90", , "(52.515 gC/100g); soil thickness 0.1 m", "43.3721", , , , "0.08259", , , , , , , , 
"CA-Mer", "28710", "GRP_SOIL_CHEM", , "80", "90", , "(1.20750 gN/100g); soil thickeness 0.1 m", , , , "0.997274", , , , , , , , , 
"CA-Mer", "28880", "GRP_SOIL_CHEM", , "60", "70", , "(52.072 gC/100g); soil thickness 0.1 m", "43.1469", , , , "0.08286", , , , , , , , 
"CA-Mer", "28881", "GRP_SOIL_CHEM", , "70", "80", , "(53.48667 gC/100g); soil thickness 0.1 m", "45.2123", , , , "0.08453", , , , , , , , 
"CA-Mer", "28882", "GRP_SOIL_CHEM", , "60", "70", , "(1.22150 gN/100g); soil thickeness 0.1 m", , , , "1.01213", , , , , , , , , 
"CA-Mer", "28883", "GRP_SOIL_CHEM", , "70", "80", , "(1.32000 gN/100g); soil thickeness 0.1 m", , , , "1.1158", , , , , , , , , 
"CA-Mer", "29242", "GRP_SOIL_CHEM", , "250", "300", , "(47.78954 gC/100g); soil thickness 0.5 m", "196.397", , , , "0.0821923076923077", , , , , , , , 
"CA-Mer", "29243", "GRP_SOIL_CHEM", , "20", "30", , "(1.29817 gN/100g); soil thickeness 0.1 m", , , , "1.16394", , , , , , , , , 
"CA-Mer", "29244", "GRP_SOIL_CHEM", , "40", "50", , "(1.16883 gN/100g); soil thickeness 0.1 m", , , , "1.1693", , , , , , , , , 
"CA-Mer", "29356", "GRP_SOIL_CHEM", , "100", "150", , "(49.28604 gC/100g); soil thickness 0.5 m", "185.556", , , , "0.0752977777777778", , , , , , , , 
"CA-Mer", "29357", "GRP_SOIL_CHEM", , "200", "250", , "(49.71872 gC/100g); soil thickness 0.5 m", "226.303", , , , "0.0910333333333334", , , , , , , , 
"CA-Mer", "29358", "GRP_SOIL_CHEM", , "300", "350", , "(48.6523076923077 gC/100g); soil thickness 0.5 m", "188.893", , , , "0.07765", , , , , , , , 
"CA-Mer", "29359", "GRP_SOIL_CHEM", , "30", "40", , "(1.40050 gN/100g); soil thickeness 0.1 m", , , , "1.51828", , , , , , , , , 
"CA-Mer", "29360", "GRP_SOIL_CHEM", , "300", "350", , "(2.56277 gN/100g); soil thickeness 0.5m", , , , "9.94995", , , , , , , , , 
"CA-Mer", "29568", "GRP_SOIL_CHEM", , "50", "60", , "(52.1345 gC/100g); soil thickness 0.1 m", "46.8898", , , , "0.08994", , , , , , , , 
"CA-NS1", "23650", "GRP_SOIL_CHEM", , "0", "11", "Organic", ":
g dwt /cm-3", , , , , "0.05", , , , , , , , 
"CA-NS1", "23793", "GRP_SOIL_CHEM", , "0", "3", "B", , "63.8", , "7", , "0.72", , , , , , , , 
"CA-NS1", "24548", "GRP_SOIL_CHEM", , "0", "3", "A", , "75.7", , , , "0.7", , , , , , , , 
"CA-NS1", "24664", "GRP_SOIL_CHEM", , "0", "17", "Total", "O,A and B Horizons Only;  O,A and B Horizons Only", "165.3", , , , , , , , , , , , 
"CA-NS1", "24805", "GRP_SOIL_CHEM", , "0", "11", "Organic", , "25.8", , , , , , , , , , , , 
"CA-NS1", "24943", "GRP_SOIL_CHEM", , "0", "3", "A", ":
field measured", , , "5.4", , , , , , , , , , 
"CA-NS2", "23921", "GRP_SOIL_CHEM", , "0", "36", "B", , "45.6", , , , "1.08", , , , , , , , 
"CA-NS2", "24416", "GRP_SOIL_CHEM", , "0", "12", "Organic", , "36.8", , , , "0.08", , , , , , , , 
"CA-NS2", "24939", "GRP_SOIL_CHEM", , "0", "18", "A", , "46.3", , "6.2", , "0.93", , , , , , , , 
"CA-NS2", "25056", "GRP_SOIL_CHEM", , "0", "66", "Total", "O,A and B Horizons Only;  O,A and B Horizons Only", "128.7", , , , , , , , , , , , 
"CA-NS3", "23794", "GRP_SOIL_CHEM", , "0", "5", "B", , "4.2", , "6", , "1.23", , , , , , , , 
"CA-NS3", "23910", "GRP_SOIL_CHEM", , "0", "24", "Total", "O,A and B Horizons Only;  O,A and B Horizons Only", "36.4", , , , , , , , , , , , 
"CA-NS3", "23915", "GRP_SOIL_CHEM", , "0", "6", "Organic", , "10.9", , , , "0.05", , , , , , , , 
"CA-NS3", "24166", "GRP_SOIL_CHEM", , "0", "13", "A", , "21.3", , "5.8", , "1.16", , , , , , , , 
"CA-NS5", "23780", "GRP_SOIL_CHEM", , "0", "125", "Total", "O,A and B Horizons Only;  O,A and B Horizons Only", "128.8", , , , , , , , , , , , 
"CA-NS5", "23785", "GRP_SOIL_CHEM", , "0", "5", "Organic", , "19.2", , , , "0.09", , , , , , , , 
"CA-NS5", "24293", "GRP_SOIL_CHEM", , "0", "70", "A", , "20.9", , "5.6", , "0.05", , , , , , , , 
"CA-NS5", "24674", "GRP_SOIL_CHEM", , "0", "50", "B", , "88.7", , "7.8", , "1.25", , , , , , , , 
"CA-NS6", "23916", "GRP_SOIL_CHEM", , "0", "3", "Organic", , "3.7", , , , "0.09", , , , , , , , 
"CA-NS6", "24549", "GRP_SOIL_CHEM", , "0", "9", "A", , "17.5", , "5.6", , "0.03", , , , , , , , 
"CA-NS6", "24675", "GRP_SOIL_CHEM", , "0", "16", "B", , "22.3", , "5.4", , "1.05", , , , , , , , 
