"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI", "DOI_CITATION", "DOI_DATAPRODUCT", 
"US-ARb", "15747", "GRP_DOI", "10.17190/AMF/1246025", "Margaret Torn (2005-2006) AmeriFlux US-ARb ARM Southern Great Plains burn site- Lamont, 10.17190/AMF/1246025", "AmeriFlux", 
"US-ARc", "15726", "GRP_DOI", "10.17190/AMF/1246026", "Margaret Torn (2005-2006) AmeriFlux US-ARc ARM Southern Great Plains control site- Lamont, 10.17190/AMF/1246026", "AmeriFlux", 
"US-ARM", "15755", "GRP_DOI", "10.17190/AMF/1246027", "Sebastien Biraud, Marc Fischer, Stephen Chan, Margaret Torn (2002-) AmeriFlux US-ARM ARM Southern Great Plains site- Lamont, 10.17190/AMF/1246027", "AmeriFlux", 
"US-Atq", "15644", "GRP_DOI", "10.17190/AMF/1246029", "Donatella Zona, Walt Oechel (1999-) AmeriFlux US-Atq Atqasuk, 10.17190/AMF/1246029", "AmeriFlux", 
"US-Aud", "15686", "GRP_DOI", "10.17190/AMF/1246028", "Tilden Meyers (2002-) AmeriFlux US-Aud Audubon Research Ranch, 10.17190/AMF/1246028", "AmeriFlux", 
"US-Bar", "15639", "GRP_DOI", "10.17190/AMF/1246030", "Andrew Richardson (2004-) AmeriFlux US-Bar Bartlett Experimental Forest, 10.17190/AMF/1246030", "AmeriFlux", 
"US-Bi1", "85252", "GRP_DOI", "10.17190/AMF/1480317", "Dennis Baldocchi (2016-) AmeriFlux US-Bi1 Bouldin Island Alfalfa, 10.17190/AMF/1480317", "AmeriFlux", 
"US-Bi2", "79480", "GRP_DOI", "10.17190/AMF/1419513", "Dennis Baldocchi (2017-) AmeriFlux US-Bi2 Bouldin Island corn, 10.17190/AMF/1419513", "AmeriFlux", 
"US-Bkg", "15632", "GRP_DOI", "10.17190/AMF/1246040", "Tilden Meyers (2004-) AmeriFlux US-Bkg Brookings, 10.17190/AMF/1246040", "AmeriFlux", 
"US-Blk", "15627", "GRP_DOI", "10.17190/AMF/1246031", "Tilden Meyers (2003-2008) AmeriFlux US-Blk Black Hills, 10.17190/AMF/1246031", "AmeriFlux", 
"US-Blo", "15676", "GRP_DOI", "10.17190/AMF/1246032", "Allen Goldstein (1997-2006) AmeriFlux US-Blo Blodgett Forest, 10.17190/AMF/1246032", "AmeriFlux", 
"US-Bn1", "15736", "GRP_DOI", "10.17190/AMF/1246033", "James Randerson (2003-2004) AmeriFlux US-Bn1 Bonanza Creek, 1920 Burn site near Delta Junction, 10.17190/AMF/1246033", "AmeriFlux", 
"US-Bn2", "15642", "GRP_DOI", "10.17190/AMF/1246034", "James Randerson (2003-) AmeriFlux US-Bn2 Bonanza Creek, 1987 Burn site near Delta Junction, 10.17190/AMF/1246034", "AmeriFlux", 
"US-Bn3", "15647", "GRP_DOI", "10.17190/AMF/1246035", "James Randerson (2003-) AmeriFlux US-Bn3 Bonanza Creek, 1999 Burn site near Delta Junction, 10.17190/AMF/1246035", "AmeriFlux", 
"US-Bo1", "15620", "GRP_DOI", "10.17190/AMF/1246036", "Tilden Meyers (1996-) AmeriFlux US-Bo1 Bondville, 10.17190/AMF/1246036", "AmeriFlux", 
"US-Bo2", "15685", "GRP_DOI", "10.17190/AMF/1246037", "Carl Bernacchi (2004-2008) AmeriFlux US-Bo2 Bondville (companion site), 10.17190/AMF/1246037", "AmeriFlux", 
"US-Br1", "15658", "GRP_DOI", "10.17190/AMF/1246038", "John Prueger, Tim Parkin (2001-) AmeriFlux US-Br1 Brooks Field Site 10- Ames, 10.17190/AMF/1246038", "AmeriFlux", 
"US-Br3", "15732", "GRP_DOI", "10.17190/AMF/1246039", "John Prueger, Tim Parkin (2001-) AmeriFlux US-Br3 Brooks Field Site 11- Ames, 10.17190/AMF/1246039", "AmeriFlux", 
"US-Brw", "15612", "GRP_DOI", "10.17190/AMF/1246041", "Donatella Zona, Walt Oechel (1998-) AmeriFlux US-Brw Barrow, 10.17190/AMF/1246041", "AmeriFlux", 
"US-CaV", "15628", "GRP_DOI", "10.17190/AMF/1246042", "Tilden Meyers (2004-) AmeriFlux US-CaV Canaan Valley, 10.17190/AMF/1246042", "AmeriFlux", 
"US-Ced", "15758", "GRP_DOI", "10.17190/AMF/1246043", "Ken Clark (2005-) AmeriFlux US-Ced Cedar Bridge, 10.17190/AMF/1246043", "AmeriFlux", 
"US-CF1", "87133", "GRP_DOI", "10.17190/AMF/1543382", "Dave Huggins (2017-) AmeriFlux US-CF1 CAF-LTAR Cook East, 10.17190/AMF/1543382", "AmeriFlux", 
"US-CF2", "87131", "GRP_DOI", "10.17190/AMF/1543383", "Dave Huggins (2017-) AmeriFlux US-CF2 CAF-LTAR Cook West, 10.17190/AMF/1543383", "AmeriFlux", 
"US-CF3", "87127", "GRP_DOI", "10.17190/AMF/1543385", "Dave Huggins (2017-) AmeriFlux US-CF3 CAF-LTAR Boyd North, 10.17190/AMF/1543385", "AmeriFlux", 
"US-CF4", "87124", "GRP_DOI", "10.17190/AMF/1543384", "Dave Huggins (2017-) AmeriFlux US-CF4 CAF-LTAR Boyd South, 10.17190/AMF/1543384", "AmeriFlux", 
"US-ChR", "15748", "GRP_DOI", "10.17190/AMF/1246044", "Tilden Meyers (2005-) AmeriFlux US-ChR Chestnut Ridge, 10.17190/AMF/1246044", "AmeriFlux", 
"US-Cop", "15663", "GRP_DOI", "10.17190/AMF/1246129", "David Bowling (2001-2007) AmeriFlux US-Cop Corral Pocket, 10.17190/AMF/1246129", "AmeriFlux", 
"US-CPk", "15664", "GRP_DOI", "10.17190/AMF/1246150", "Brent Ewers, Elise Pendall (2009-) AmeriFlux US-CPk Chimney Park, 10.17190/AMF/1246150", "AmeriFlux", 
"US-CRT", "15683", "GRP_DOI", "10.17190/AMF/1246156", "Jiquan Chen, Housen Chu (2011-2013) AmeriFlux US-CRT Curtice Walter-Berger cropland, 10.17190/AMF/1246156", "AmeriFlux", 
"US-Ctn", "15613", "GRP_DOI", "10.17190/AMF/1246117", "Tilden Meyers (2007-2009) AmeriFlux US-Ctn Cottonwood, 10.17190/AMF/1246117", "AmeriFlux", 
"US-CZ2", "79475", "GRP_DOI", "10.17190/AMF/1419510", "Michael Goulden (2010-) AmeriFlux US-CZ2 Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle, 10.17190/AMF/1419510", "AmeriFlux", 
"US-CZ3", "79477", "GRP_DOI", "10.17190/AMF/1419512", "Michael Goulden (2008-) AmeriFlux US-CZ3 Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301, 10.17190/AMF/1419512", "AmeriFlux", 
"US-CZ4", "79483", "GRP_DOI", "10.17190/AMF/1419511", "Michael Goulden (2009-) AmeriFlux US-CZ4 Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair, 10.17190/AMF/1419511", "AmeriFlux", 
"US-Dia", "15724", "GRP_DOI", "10.17190/AMF/1246146", "Sonia Wharton (2010-2015) AmeriFlux US-Dia Diablo, 10.17190/AMF/1246146", "AmeriFlux", 
"US-Dix", "15629", "GRP_DOI", "10.17190/AMF/1246045", "Ken Clark (2005-2008) AmeriFlux US-Dix Fort Dix, 10.17190/AMF/1246045", "AmeriFlux", 
