"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_POWER", 
"US-Ho2", "29816", "GRP_TOWER_POWER", "direct power", 
"US-Ho3", "29817", "GRP_TOWER_POWER", "solar + generator", 
"US-HPY", "30559", "GRP_TOWER_POWER", "solar panels", 
"US-HRA", "29875", "GRP_TOWER_POWER", "Solar panels", 
"US-HRC", "29874", "GRP_TOWER_POWER", "Solar panels", 
"US-HRN", "87856", "GRP_TOWER_POWER", "Solar panels", 
"US-HRP", "31152", "GRP_TOWER_POWER", "Solar panels", 
"US-HRS", "33532", "GRP_TOWER_POWER", "Solar panels", 
"US-HVs", "84664", "GRP_TOWER_POWER", "Gasoline generator", 
"US-IB1", "29980", "GRP_TOWER_POWER", "Solar panels", 
"US-IB2", "29988", "GRP_TOWER_POWER", "Direct power", 
"US-ICh", "29856", "GRP_TOWER_POWER", "Other", 
"US-ICs", "29853", "GRP_TOWER_POWER", "Other", 
"US-ICt", "29854", "GRP_TOWER_POWER", "Other", 
"US-Ivo", "29819", "GRP_TOWER_POWER", "Other", 
"US-JLN", "85687", "GRP_TOWER_POWER", "Solar panels", 
"US-JLR", "85696", "GRP_TOWER_POWER", "Solar panels", 
"US-JRn", "87861", "GRP_TOWER_POWER", "Direct power", 
"US-KFB", "29881", "GRP_TOWER_POWER", "other", 
"US-KFS", "33644", "GRP_TOWER_POWER", "Direct power", 
"US-KL1", "29907", "GRP_TOWER_POWER", "Solar panels", 
"US-KL2", "29908", "GRP_TOWER_POWER", "Solar panels", 
"US-KL3", "29909", "GRP_TOWER_POWER", "Solar panels", 
"US-KLS", "29880", "GRP_TOWER_POWER", "other", 
"US-KM1", "29910", "GRP_TOWER_POWER", "Solar panels", 
"US-KM2", "29911", "GRP_TOWER_POWER", "Solar panels", 
"US-KM3", "29912", "GRP_TOWER_POWER", "Solar panels", 
"US-KM4", "29913", "GRP_TOWER_POWER", "Solar panels", 
"US-Kon", "29820", "GRP_TOWER_POWER", "other", 
"US-KS1", "29821", "GRP_TOWER_POWER", "solar panels", 
"US-KS2", "29822", "GRP_TOWER_POWER", "direct power", 
"US-KS3", "79265", "GRP_TOWER_POWER", "Solar panels", 
"US-KS4", "79887", "GRP_TOWER_POWER", "Solar panels", 
"US-KUO", "29823", "GRP_TOWER_POWER", "Direct power", 
"US-KUT", "29862", "GRP_TOWER_POWER", "Direct power", 
"US-LA1", "85114", "GRP_TOWER_POWER", "Solar panels", 
"US-LA2", "85131", "GRP_TOWER_POWER", "Solar panels", 
"US-LA3", "85160", "GRP_TOWER_POWER", "Solar panels", 
"US-LGr", "29876", "GRP_TOWER_POWER", "Solar panels", 
"US-LL1", "83551", "GRP_TOWER_POWER", "Solar panels", 
"US-LL2", "83588", "GRP_TOWER_POWER", "Solar panels", 
"US-LL3", "83615", "GRP_TOWER_POWER", "Solar panels", 
"US-Los", "29824", "GRP_TOWER_POWER", "Solar panels", 
"US-Me2", "29825", "GRP_TOWER_POWER", "Solar panels", 
"US-Me6", "29852", "GRP_TOWER_POWER", "Solar panels", 
"US-Men", "33598", "GRP_TOWER_POWER", "Direct Power", 
"US-Mj1", "29931", "GRP_TOWER_POWER", "Solar panels", 
"US-Mj2", "29932", "GRP_TOWER_POWER", "Solar panels", 
"US-Mpj", "29849", "GRP_TOWER_POWER", "Solar panels", 
"US-MRM", "30539", "GRP_TOWER_POWER", "Direct power", 
"US-MtB", "87257", "GRP_TOWER_POWER", "Solar panels", 
"US-Myb", "88150", "GRP_TOWER_POWER", "Solar panels", 
"US-NC1", "29826", "GRP_TOWER_POWER", "Solar panels", 
"US-NC2", "29827", "GRP_TOWER_POWER", "Solar panels", 
"US-NC3", "29872", "GRP_TOWER_POWER", "Solar panels", 
"US-NC4", "29873", "GRP_TOWER_POWER", "Solar panels", 
"US-NGC", "85182", "GRP_TOWER_POWER", "Solar panels", 
"US-NR1", "29828", "GRP_TOWER_POWER", "Direct power", 
"US-Nrf", "30927", "GRP_TOWER_POWER", "Solar panels", 
"US-Nrs", "30881", "GRP_TOWER_POWER", "Solar panels", 
"US-OF1", "30663", "GRP_TOWER_POWER", "Solar panels", 
"US-OF2", "30644", "GRP_TOWER_POWER", "Solar panels", 
"US-Oho", "29829", "GRP_TOWER_POWER", "Solar panels", 
"US-ORv", "86425", "GRP_TOWER_POWER", "Direct power", 
"US-OWC", "29914", "GRP_TOWER_POWER", "Solar panels", 
"US-PFa", "29830", "GRP_TOWER_POWER", "Direct Power", 
"US-PFb", "87424", "GRP_TOWER_POWER", "Other", 
"US-PFc", "87447", "GRP_TOWER_POWER", "Other", 
"US-PFd", "87470", "GRP_TOWER_POWER", "Solar panels", 
"US-PFe", "87493", "GRP_TOWER_POWER", "Other", 
"US-PFf", "87516", "GRP_TOWER_POWER", "Solar panels", 
"US-PFg", "87526", "GRP_TOWER_POWER", "Other", 
"US-PFh", "87566", "GRP_TOWER_POWER", "Other", 
"US-PFi", "87585", "GRP_TOWER_POWER", "Other", 
"US-PFj", "87589", "GRP_TOWER_POWER", "Other", 
"US-PFk", "87631", "GRP_TOWER_POWER", "Other", 
"US-PFL", "87651", "GRP_TOWER_POWER", "Other", 
"US-PFm", "87677", "GRP_TOWER_POWER", "Other", 
"US-PFn", "87700", "GRP_TOWER_POWER", "Other", 
"US-PFo", "87723", "GRP_TOWER_POWER", "Solar panels", 
"US-PFp", "87746", "GRP_TOWER_POWER", "Other", 
"US-PFq", "87797", "GRP_TOWER_POWER", "Other", 
"US-PFr", "87774", "GRP_TOWER_POWER", "Solar panels", 
"US-PFs", "87815", "GRP_TOWER_POWER", "Other", 
"US-PFt", "87838", "GRP_TOWER_POWER", "Other", 
"US-PHM", "30045", "GRP_TOWER_POWER", "Solar panels", 
"US-PLM", "79864", "GRP_TOWER_POWER", "Solar panels", 
"US-Pnp", "79409", "GRP_TOWER_POWER", "Direct Power", 
"US-Prr", "84752", "GRP_TOWER_POWER", "Direct power", 
"US-PSH", "86804", "GRP_TOWER_POWER", "Solar panels", 
"US-PSL", "86790", "GRP_TOWER_POWER", "Solar panels", 
"US-RC1", "84894", "GRP_TOWER_POWER", "Solar panels", 
"US-RC2", "84930", "GRP_TOWER_POWER", "Solar panels", 
"US-RC3", "84912", "GRP_TOWER_POWER", "Solar panels", 
"US-RC4", "84947", "GRP_TOWER_POWER", "Solar panels", 
"US-RC5", "84964", "GRP_TOWER_POWER", "Solar panels", 
"US-RFE", "29962", "GRP_TOWER_POWER", "Solar panels", 
"US-RFW", "29979", "GRP_TOWER_POWER", "Solar panels", 
"US-Rls", "30705", "GRP_TOWER_POWER", "Solar Panels", 
"US-Rms", "30625", "GRP_TOWER_POWER", "Solar Panels", 
"US-Ro1", "30228", "GRP_TOWER_POWER", "Direct Power", 
"US-Ro2", "29835", "GRP_TOWER_POWER", "Solar Panels", 
"US-Ro3", "29836", "GRP_TOWER_POWER", "Direct Power", 
"US-Ro4", "29906", "GRP_TOWER_POWER", "Solar Panels", 
"US-Ro5", "30150", "GRP_TOWER_POWER", "Direct Power", 
"US-Ro6", "30176", "GRP_TOWER_POWER", "Direct Power", 
"US-Rpf", "85279", "GRP_TOWER_POWER", "Direct power", 
"US-RRC", "79830", "GRP_TOWER_POWER", "Solar panels", 
"US-Rwe", "88147", "GRP_TOWER_POWER", "Solar panels", 
"US-Rwf", "88116", "GRP_TOWER_POWER", "Solar panels", 
"US-Rws", "29929", "GRP_TOWER_POWER", "Solar Panels", 
"US-Sag", "84755", "GRP_TOWER_POWER", "Gasoline generator", 
"US-SB1", "29884", "GRP_TOWER_POWER", "direct power", 
"US-SB2", "29930", "GRP_TOWER_POWER", "Direct power", 
"US-SB3", "84646", "GRP_TOWER_POWER", "Solar panels", 
"US-SdH", "29858", "GRP_TOWER_POWER", "Solar panels", 
"US-SDU", "29838", "GRP_TOWER_POWER", "Direct power", 
"US-Seg", "29850", "GRP_TOWER_POWER", "Solar panels", 
"US-Ses", "29851", "GRP_TOWER_POWER", "Solar panels", 
"US-SHC", "33667", "GRP_TOWER_POWER", "Direct power", 
"US-SHS", "30519", "GRP_TOWER_POWER", "solar panels", 
"US-Skr", "29840", "GRP_TOWER_POWER", "solar panels", 
"US-Slt", "29839", "GRP_TOWER_POWER", "Direct power", 
"US-Snd", "29992", "GRP_TOWER_POWER", "Direct power", 
"US-Sne", "30022", "GRP_TOWER_POWER", "Solar panels", 
"US-Snf", "84765", "GRP_TOWER_POWER", "Direct power", 
"US-SRC", "86647", "GRP_TOWER_POWER", "Solar panels", 
"US-SRG", "29866", "GRP_TOWER_POWER", "Solar panels", 
"US-SRM", "79397", "GRP_TOWER_POWER", "Solar panels", 
"US-Srr", "30969", "GRP_TOWER_POWER", "Solar panels", 
"US-SSH", "30701", "GRP_TOWER_POWER", "Direct power", 
"US-StJ", "29885", "GRP_TOWER_POWER", "direct power", 
"US-StS", "30121", "GRP_TOWER_POWER", "Gasoline Generator", 
"US-SuM", "29878", "GRP_TOWER_POWER", "Solar panels", 
"US-SuS", "29879", "GRP_TOWER_POWER", "Solar panels", 
"US-SuW", "29877", "GRP_TOWER_POWER", "Solar panels", 
"US-Syv", "29841", "GRP_TOWER_POWER", "Direct Power", 
"US-SZ1", "85787", "GRP_TOWER_POWER", "Solar panels", 
"US-SZ2", "85842", "GRP_TOWER_POWER", "Solar panels", 
"US-SZ3", "85861", "GRP_TOWER_POWER", "Solar panels", 
"US-Ton", "33665", "GRP_TOWER_POWER", "Solar panels", 
"US-Tur", "85312", "GRP_TOWER_POWER", "Solar panels", 
"US-Tw2", "29994", "GRP_TOWER_POWER", "Solar panels", 
"US-Tw5", "84623", "GRP_TOWER_POWER", "Solar panels", 
"US-Tx1", "86564", "GRP_TOWER_POWER", "Direct power", 
"US-Tx2", "79581", "GRP_TOWER_POWER", "Solar panels", 
"US-Tx3", "79531", "GRP_TOWER_POWER", "Direct Power", 
"US-Tx4", "79611", "GRP_TOWER_POWER", "Direct Power", 
"US-Tx5", "79637", "GRP_TOWER_POWER", "Solar panels", 
"US-Tx6", "79647", "GRP_TOWER_POWER", "Solar Panels", 
"US-Tx7", "79704", "GRP_TOWER_POWER", "Direct power", 
"US-Tx8", "86678", "GRP_TOWER_POWER", "Solar Panels", 
"US-Tx9", "79678", "GRP_TOWER_POWER", "Solar panels", 
"US-Uaf", "81357", "GRP_TOWER_POWER", "Direct power", 
"US-UiA", "87890", "GRP_TOWER_POWER", "Direct power", 
"US-UiB", "87909", "GRP_TOWER_POWER", "Direct power", 
"US-UiC", "87939", "GRP_TOWER_POWER", "Direct power", 
"US-ULM", "29864", "GRP_TOWER_POWER", "Solar panels", 
"US-UMB", "29842", "GRP_TOWER_POWER", "Direct Power", 
"US-UMd", "29857", "GRP_TOWER_POWER", "Direct power", 
"US-Var", "30455", "GRP_TOWER_POWER", "Solar panels", 
"US-Vcm", "29847", "GRP_TOWER_POWER", "Solar panels", 
"US-Vcp", "29848", "GRP_TOWER_POWER", "Solar panels", 
"US-Vcs", "30500", "GRP_TOWER_POWER", "Solar panels", 
"US-VFP", "84985", "GRP_TOWER_POWER", "Solar panels", 
"US-WCr", "29843", "GRP_TOWER_POWER", "Gasoline generator", 
"US-Wgr", "29919", "GRP_TOWER_POWER", "Direct power", 
"US-Whs", "29845", "GRP_TOWER_POWER", "solar panels", 
"US-Wjs", "29846", "GRP_TOWER_POWER", "Solar panels", 
"US-Wkg", "29844", "GRP_TOWER_POWER", "Solar panels", 
"US-Wpp", "29922", "GRP_TOWER_POWER", "Solar panels", 
"US-WPT", "29870", "GRP_TOWER_POWER", "Direct power", 
"US-Wwt", "29918", "GRP_TOWER_POWER", "Direct power", 
"US-xAB", "85354", "GRP_TOWER_POWER", "Direct power", 
"US-xAE", "86242", "GRP_TOWER_POWER", "Direct power", 
"US-xBA", "85237", "GRP_TOWER_POWER", "Direct power", 
"US-xBL", "85324", "GRP_TOWER_POWER", "Direct power", 
"US-xBN", "85534", "GRP_TOWER_POWER", "Direct power", 
"US-xBR", "79817", "GRP_TOWER_POWER", "Direct power", 
"US-xCL", "79494", "GRP_TOWER_POWER", "Direct power", 
"US-xCP", "30477", "GRP_TOWER_POWER", "Direct power", 
"US-xDC", "85582", "GRP_TOWER_POWER", "Direct power", 
"US-xDJ", "85563", "GRP_TOWER_POWER", "Direct power", 
"US-xDL", "85512", "GRP_TOWER_POWER", "Direct power", 
"US-xDS", "85496", "GRP_TOWER_POWER", "Direct power", 
"US-xGR", "85472", "GRP_TOWER_POWER", "Direct power", 
"US-xHA", "79787", "GRP_TOWER_POWER", "Direct power", 
"US-xHE", "85454", "GRP_TOWER_POWER", "Direct power", 
"US-xJE", "81956", "GRP_TOWER_POWER", "Direct power", 
"US-xJR", "85439", "GRP_TOWER_POWER", "Direct power", 
"US-xKA", "85402", "GRP_TOWER_POWER", "Direct power", 
"US-xKZ", "79329", "GRP_TOWER_POWER", "Direct power", 
"US-xLE", "85399", "GRP_TOWER_POWER", "Direct power", 
"US-xMB", "86044", "GRP_TOWER_POWER", "Direct power", 
"US-xML", "85370", "GRP_TOWER_POWER", "Direct power", 
"US-xNG", "81942", "GRP_TOWER_POWER", "Direct power", 
"US-xNQ", "81916", "GRP_TOWER_POWER", "Direct power", 
"US-xNW", "83375", "GRP_TOWER_POWER", "Direct power", 
"US-xPU", "86062", "GRP_TOWER_POWER", "Direct power", 
"US-xRM", "86154", "GRP_TOWER_POWER", "Direct power", 
"US-xRN", "86181", "GRP_TOWER_POWER", "Direct power", 
"US-xSB", "79726", "GRP_TOWER_POWER", "Direct power", 
