"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_FERT_M", "DM_DATE", "DM_COMMENT", 
"US-Ne1", "9631", "GRP_DM_FERT_M", "N", "20050502", "32% UAN  160 lbsN /ac (179.2 kg N ha-1 )", 
"US-Ne1", "9632", "GRP_DM_FERT_M", "N", "20071113", "32% UAN, 40 lb/ac", 
"US-Ne2", "292", "GRP_DM_FERT_M", "N", "20010619", "30 lb N/ac( 33.60 kg N ha-1 ) 28% UAN with 0.17 in", 
"US-Ne2", "1098", "GRP_DM_FERT_M", "N", "20050615", "35 lb N/ac ( 39.2 kg N ha-1 )  32%UAN with 0.53 in water", 
"US-Ne2", "1110", "GRP_DM_FERT_M", "N", "20010514", "28% UAN 114lb N/ac( 127.68 kg N ha-1 )  North; 76 lb/ac ( 85.12 kg N ha-1 ) South,", 
"US-Ne2", "1955", "GRP_DM_FERT_M", "N", "20070501", "103 lb N/ac as 32% UAN", 
"US-Ne2", "1956", "GRP_DM_FERT_M", "N", "20070627", "30.7 lb N/ac 32%UAN", 
"US-Ne2", "1966", "GRP_DM_FERT_M", "N", "20030422", "28% UAN   99.9 lb N/ac ( 111.89 kg N ha-1 )", 
"US-Ne2", "2812", "GRP_DM_FERT_M", "N", "20030619", "28% UAN 25.8 lb N/ac ( 28.89 kg N ha-1 )with 0.18 in water", 
"US-Ne2", "3650", "GRP_DM_FERT_M", "N", "20030723", "28%UAN 50 lb N/ac ( 56 kg N ha-1 )", 
"US-Ne2", "7036", "GRP_DM_FERT_M", "N", "20050614", "76 lb N/ac ( 85.12 kg N ha-1 )  32%UAN", 
"US-Ne2", "7037", "GRP_DM_FERT_M", "N", "20070430", "103 lb N/ac as 32% UAN", 
"US-Ne2", "7052", "GRP_DM_FERT_M", "N", "20010703", "30.6 lb N/ac ( 34.27 kg N ha-1 ) 28%UAN with 0.17 in water", 
"US-Ne2", "7056", "GRP_DM_FERT_M", "N", "20030421", "28% UAN   99.9 lb N/ac ( 111.89 kg N ha-1 )", 
"US-Ne2", "7909", "GRP_DM_FERT_M", "N", "20050705", "41lb N/ac ( 45.92 kg N ha-1 ) 32%UAN 0.5 in water", 
"US-Ne2", "7915", "GRP_DM_FERT_M", "N", "20070612", "30 lb N/ac, 32%UAN.with 0.31in water", 
"US-Ne2", "7932", "GRP_DM_FERT_M", "N", "20030708", "28% UAN 24.6 lb N/ac ( 27.55 kg N ha-1 ) with 0.18 in water", 
"US-Ne2", "8757", "GRP_DM_FERT_M", "N", "20050426", "32% UAN  90 lb N/ac ( 100 kg N ha-1 )", 
"US-Ne2", "9620", "GRP_DM_FERT_M", "N", "20050427", "32% UAN  90 lb N/ac ( 100 kg N ha-1 )", 
"US-Ne2", "9636", "GRP_DM_FERT_M", "N", "20030417", "28% UAN   99.9 lb N/ac ( 111.89 kg N ha-1 )", 
"US-Ne3", "6203", "GRP_DM_FERT_M", "N", "20010516", "28% UAN  114lb N/ac ( 127.68 kg N ha-1 )", 
"US-Ne3", "6204", "GRP_DM_FERT_M", "N", "20030423", "Rate 80.2 lb/ac ( 89.82 kg N ha-1 )", 
"US-Ne3", "6220", "GRP_DM_FERT_M", "N", "20050408", "32%UAN 105 lb N/ac ( 117.6 kg N ha-1 )", 
"US-Ne3", "7920", "GRP_DM_FERT_M", "N", "20030421", "80.2 lb/ac ( 89.82 kg N ha-1 )", 
"US-Ne3", "7935", "GRP_DM_FERT_M", "N", "20050407", "32%UAN 105 lb N/ac ( 117.6 kg N ha-1 )", 
"US-Ne3", "8763", "GRP_DM_FERT_M", "N", "20030422", "80.2 lb/ac ( 89.82 kg N ha-1 )", 
"US-SP2", "7965", "GRP_DM_FERT_M", "Other", "20021001", "40 Kg ha-1 N; 45 Kg ha-1 P; Fall", 
"US-SP3", "305", "GRP_DM_FERT_M", "Other", "19930801", "50 Kg/ha N; 56 kg/ha P", 
"US-SP3", "5381", "GRP_DM_FERT_M", "N", "20011201", "151 Kg/ha N", 
