"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_BIOMASS", "AG_LIT_BIOMASS_UNIT", "AG_LIT_BIOMASS_DATE", "AG_LIT_BIOMASS_COMMENT", "AG_LIT_BIOMASS_SPATIAL_VARIABILITY", "AG_LIT_BIOMASS_SPATIAL_REP_NUMBER", "AG_LIT_BIOMASS_APPROACH", "AG_LIT_BIOMASS_DATE_UNC", 
"CA-Let", "26370", "GRP_AG_LIT_BIOMASS", "183.758412", "gC m-2", "20041025", "mass of dead plant material", , , , , 
"CA-Let", "26489", "GRP_AG_LIT_BIOMASS", "127.181824", "gC m-2", "20000724", "mass of dead plant material", , , , , 
"CA-Let", "26490", "GRP_AG_LIT_BIOMASS", "177.82272", "gC m-2", "20030616", "mass of dead plant material", , , , , 
"CA-Let", "26491", "GRP_AG_LIT_BIOMASS", "102.03349", "gC m-2", "20030702", "mass of dead plant material", , , , , 
"CA-Let", "26492", "GRP_AG_LIT_BIOMASS", "179.068956", "gC m-2", "20040723", "mass of dead plant material", , , , , 
"CA-Let", "26493", "GRP_AG_LIT_BIOMASS", "122.84353", "gC m-2", "20050714", "mass of dead plant material", , , , , 
"CA-Let", "26494", "GRP_AG_LIT_BIOMASS", "268.322322", "gC m-2", "20060925", "mass of dead plant material", , , , , 
"CA-Let", "26620", "GRP_AG_LIT_BIOMASS", "106.513475", "gC m-2", "20000612", "mass of dead plant material", , , , , 
"CA-Let", "26621", "GRP_AG_LIT_BIOMASS", "137.042722", "gC m-2", "20000918", "mass of dead plant material", , , , , 
"CA-Let", "26622", "GRP_AG_LIT_BIOMASS", "119.21224", "gC m-2", "20001016", "mass of dead plant material", , , , , 
"CA-Let", "26623", "GRP_AG_LIT_BIOMASS", "-2296.0017", "gC m-2", "20020417", "mass of dead plant material", , , , , 
"CA-Let", "26624", "GRP_AG_LIT_BIOMASS", "228.323564", "gC m-2", "20040603", "mass of dead plant material", , , , , 
